代碼,標的名稱,風險等級,幣別,投資區域,國內外,類型1,類型2,標的類型,配息方式,標準差％,夏普值,β係數,漲跌％,漲跌,基金規模,成立日期,一個月％,三個月％,六個月％,今年來％,一年％,二年％,三年％,五年％,展望
101,摩根日本(日圓)(香港註冊)(本基金並無保證收益及配息且配息來源可能為本金),穩健型,日圓,日本,國外,股票型,股票型,國外-股票型,無,22.64,0.12,1.19,0.22,144,401百萬(美元),1969/8/6,0.26,-3.8,1.17,-3.8,8.21,41.65,34.65,103.08,日本經濟維持溫和擴張，在歷經三十年後正走出通貨緊縮困境邁入通膨環境，消費者將增加支出、企業可望擴大資本支出，將創造投資機會，日本股市的每股盈餘獲利穩定且基期偏低，日股相對全球股市折價但卻能提供類似美國市場中科技及成長的元素，加上近年日本公司治理水準提升，預期有利股價表現。此外，評估日本央行將採取溫和漸進的方式回收寬鬆貨幣政策，避免對經濟與金融市場帶來過大衝擊。
103,摩根JPM亞太入息基金(本基金並無保證收益及配息且配息來源可能為本金),穩健型,美元,亞太,國外,平衡型,平衡型,國外-平衡型,年配,6.96,0.26,0.64,0.25,0.08,"1,220百萬(美元)",2001/6/15,0.44,2.62,-2.55,2.36,7.56,13.1,5.53,37.33,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
104,摩根太平洋證券,積極型,美元,亞洲,國外,股票型,股票型,國外-股票型,無,12.4,0.11,1.2,0.17,0.84,566百萬(美元),1978/5/26,0.18,1.84,-5.63,1.46,5.58,7.52,-2.39,40.03,新興市場債券之殖利率相較成熟市場會來的相對高些，現階段以強勢貨幣計價的新興市場債券更具吸引力。
105,摩根東協基金(美元)(累計),積極型,美元,東協,國外,股票型,股票型,國外-股票型,無,11.62,0.23,0.93,0.37,0.58,"1,192百萬(美元)",1983/7/7,1.89,-1.15,-6.04,-1.47,10.32,6.64,1.96,59.93,現階段以越南之表現較佳，惟其波動性較大，建議以分批進場方式布局。
106,摩根泰國,積極型,美元,泰國,國外,股票型,股票型,國外-股票型,無,19.58,-0.01,1.23,0.17,0.26,180百萬(美元),1989/8/8,-2.01,-11.08,-18.96,-12.38,-1.06,-18.68,-18.59,18.14,因投資區域以單一市場(泰國)為主，投資比重不建議太高。
123,摩根亞洲股票高息基金(本基金無保證收益),積極型,美元,亞洲,國外,股票型,高股息,國外-股票型,無,9.89,0.16,0.94,0.31,0.15,480百萬(美元),1981/6/15,0.76,2.21,-4.5,1.93,6.59,18.67,2.98,96.47,美國汽車關稅政策拖累美股，亦同時壓抑亞股表現，風險屬性較積極者建議可採取左側交易，分批進場；保守型投資人較不建議。
134,摩根亞洲小型企業基金,積極型,美元,亞洲,國外,中小型股,中小型股,國外-中小型股,無,9.69,-0.08,0.74,0.43,1.26,153百萬(美元),1991/12/2,-0.38,-6.46,-10.11,-7.03,-1.78,6.05,-9.93,71.42,川普的美國優先政策，將有利於小型企業，在成長性上也相對大型股更有爆發力。
136,摩根JPM歐洲基金(本基金之配息來源可能為本金),穩健型,美元,歐洲,國外,股票型,股票型,國外-股票型,年配,13.19,0.14,0.96,-0.06,-0.04,"1,160百萬(美元)",2001/6/1,0.12,10.58,1.25,10.66,6.88,22.71,24.75,109.1,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 8 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
137,摩根南韓基金,積極型,美元,南韓,國外,股票型,股票型,國外-股票型,無,16.36,-0.24,0.97,-0.11,-0.07,161百萬(美元),1991/12/11,-0.57,8.68,-9.2,8.42,-12.83,-4.03,-22.59,47.18,主要由電機電子類股領漲，因投資區域以單一市場為主，投資比重不建議太高。
147,摩根太平洋科技基金,積極型,美元,亞洲,國外,資訊科技股,資訊科技股,國外-資訊科技股,無,17.05,0.02,0.48,0.35,0.31,656百萬(美元),1997/8/15,-2.63,1.98,-4.53,0.69,1.22,12.9,-5.5,38.54,數位轉型仍是多數企業的目標之一，且科技能顯著提高生產力、創造新商業模式，具備一定優勢。
