標題,連結,內文,來源,時間,圖片
午後外出帶傘！氣象署對16縣市發布大雨特報| 生活,https://newtalk.tw/news/view/2025-05-18/971563,"氣象署發布大雨特報，午後對流雲系發展旺盛，易有短延時強降雨，大台北、東北部地區及各地山區今天有局部大雨發生的機率，注意雷擊、強陣風及溪水暴漲，山區慎防坍方及落石，低窪地區慎防積水。
氣象署對16縣市發布大雨特報，大雨地區為基隆北海岸、台北市、新北市、桃園市山區、新竹縣山區、苗栗縣山區、台中市山區、南投縣、雲林縣山區、嘉義縣山區、台南市山區、高雄市山區、屏東縣山區、宜蘭縣、花蓮縣山區、台東縣山區。",Newtalk新聞,2025-05-18,https://images.newtalk.tw/resize_action2/800/album/news/972/68296afd7b2dd.jpeg
對流發展旺盛！氣象署針對2縣市發大雨特報| 生活,https://newtalk.tw/news/view/2025-05-15/971153,"南部地區對流雲系發展旺盛，中央氣象署今(15)日下午針對高雄市及屏東山區發布大雨特報，提醒這2區域將有局部大雨，外出須攜帶雨具，同時也需特別注意雷擊和強陣風，山區則要慎防短時強降雨造成的坍方、落石和溪水暴漲。
中央氣象署針對2縣市發布大雨特報，氣象署說，對流雲系發展旺盛，易有短延時強降雨，今日高雄及屏東山區有局部大雨發生的機率，注意雷擊及強陣風，山區慎防坍方、落石及溪水暴漲。",Newtalk新聞,2025-05-15,https://images.newtalk.tw/resize_action2/800/album/news/972/6825b64aa06e4.png
大雨致交通受阻花蓮秀林鄉和平村5/19停班停課| 政治,https://newtalk.tw/news/view/2025-05-18/971631,"受到今天大雨造成交通受阻影響，花蓮縣政府晚間發布訊息表示，5月19日秀林鄉和平村（和平、和中、和仁）停止上班上課。
花蓮下午雨勢不斷，導致台鐵和仁與崇德間遭土石流淹沒軌道。台鐵表示，目前北迴線雙向中斷，晚間7時台鐵人員也已進場搶修。
台鐵和仁與崇德間因大雨遭土石流淹沒軌道，北迴線雙向中斷；花蓮縣政府表示，19日秀林鄉和平村（和平、和中、和仁）停止上班上課。圖為花蓮站晚間空蕩蕩情形。（民眾提供）",Newtalk新聞,2025-05-18,https://images.newtalk.tw/resize_action2/800/album/news/972/6829fb41eb88a.jpg
豪大雨不斷！蘇花時雨量65毫米公路局可能預警性封路| 生活,https://newtalk.tw/news/view/2025-05-18/971586,"今(18)日午後豪大雨不斷，蘇花路廊南段下午已有短時豪雨發生，時雨量達65毫米，公路局東區養護工程分局南澳工務已成立緊急應變小駔，並於蘇花路廊沿線進駐搶災機具及警戒人員加強巡查及待命，後續雨量如持續加劇，不排除預警性封路。
公路局說，台9丁線和中~大清水1小時雨量65.0mm，台9線大清水~崇德(158K~167K)1小時雨量 65.0.0mm，不排除預警性封路。另台9線161.3k花蓮縣政府正辦理石公溪疏濬，本分局已通報花蓮縣政府石公溪上游已誘發土石流請撤離疏濬機具、設備。
全站首選：陣風慘敗引爆軍武連鎖效應! 南亞多國要退訂 殲-10C成新星 連韓國都怕賣不動
公路局呼籲用路人，颱風豪雨期間山區道路易發生坍方、落石，路況難以掌握，請避免進入山區道路。另用路人持續注意道路管制訊息並預先規劃行程及相關應變措施，颱風過後山區道路不穩定性高，災後搶通時間需俟災情規模而定，請用路人提前因應規劃避免受困滯留。",Newtalk新聞,2025-05-18,https://images.newtalk.tw/resize_action2/800/album/news/964/67edc909d6c5f.jpg
外出帶傘！午後對流雲系發展旺盛16縣市大雨特報| 生活,https://newtalk.tw/news/view/2025-05-17/971441,"午後對流雲系發展旺盛，易有短延時強降雨，今(17)日新竹以北、南投地區及其他各地山區有局部大雨發生的機率，請注意雷擊及強陣風，山區注意坍方、落石及溪水暴漲，低窪地區請慎防積水。
氣象署針對16縣市發布大雨特報，範圍包括基隆北海岸、台北市、新北市、桃園市、新竹縣、苗栗縣山區、台中市山區、南投縣、雲林縣山區、嘉義縣山區、台南市山區、高雄市山區、屏東縣山區、宜蘭縣山區、花蓮縣山區、台東縣山區。",Newtalk新聞,2025-05-17,https://images.newtalk.tw/resize_action2/800/album/news/972/68282afe8b0d5.png
台東縣豪雨特報 山區注意坍方.落石,https://newtalk.tw/news/view/2025-05-18/971513,中央氣象署在今(18)晨5時15分發布豪雨特報，由於對流雲系發展旺盛，易有短延時強降雨，台東縣有局部大雨或豪雨發生的機率，請注意雷擊及強陣風，山區注意坍方、落石及溪水暴漲。,Newtalk新聞,2025-05-18,https://images.newtalk.tw/resize_action2/800/album/news/972/682907f12f6b4.jpg
午後豪大雨狂炸！松山機場暫停地面作業部分航班延誤| 生活,https://newtalk.tw/news/view/2025-05-18/971583,"今(18)日午後各地都有雷陣雨，交通部民航局表示，松山機場下午3時13分起暫停地面作業，部分航班可能因此延誤，提醒旅客及接機民眾注意航班異動資訊，如有航班問題請洽詢航空公司。
氣象署發布豪雨特報，氣象署說，午後對流雲系發展旺盛，易有短延時強降雨，新北市山區及南投縣山區今日有局部大雨或豪雨，大台北、東北部、東部地區及各地山區有局部大雨發生的機率，請注意雷擊、強陣風及溪水暴漲，山區請慎防坍方及落石，並請避免前往山區活動，低窪地區需慎防積水。
全站首選：中國報導賴清德就職周年不小心說了實話！央視主播脫口稱「兩國」
民航局指出，受此影響，與松山機場有航班往來的機場也將連帶影響，航班起飛或到達時間將有延誤，已要求相關航空站立即於航站內透過公佈欄、跑馬、廣播等方式告知旅客，並於官網提供最新航班資訊供民眾查詢。除此之外，民航局也說，由於馬祖濃霧尚未解除，南竿、北竿機場尚未恢復起降。",Newtalk新聞,2025-05-18,https://images.newtalk.tw/resize_action2/800/album/news/926/667e627797985.jpg
大雷雨狂襲東部！「崇德—和仁」發生土石流台鐵北迴線無法通行| 生活,https://newtalk.tw/news/view/2025-05-18/971593,"今(18)日因午後對流雲系發展旺盛，易有短延時強降雨，氣象署發布豪雨特報，氣象署也持續針對「宜蘭縣、花蓮縣」發布大雷雨即時訊息，持續時間至17時00分止。而受到豪大雨影響，合鐵事故通報平台通報，崇德車站至和仁車站間土石流，北迴線列車無法通行。
氣象署發布豪雨特報，新北市山區、南投縣山區、花蓮縣山區及新北市(汐止區及深坑區)今日有局部大雨或豪雨，大台北、東北部、東部地區及各地山區有局部大雨發生的機率，請注意雷擊、強陣風及溪水暴漲；山區請慎防坍方及落石，並請避免前往山區活動；低窪地區請慎防積水。
持續更新：午後豪大雨狂炸！松山機場暫停地面作業 部分航班延誤
氣象署也持續針對「宜蘭縣、花蓮縣」發布大雷雨即時訊息，而台鐵也受到影響，合鐵事故平台通報因劇烈天氣影響，崇德車站至和仁車站間土石流，北迴線列車無法通行，欲退換票旅客，可至售票窗口辦理，也有網友回報，「本人在434次，車長廣播只行駛至蘇澳新，後續怎麼前往是個大問題」。
合鐵事故平台通報「因劇烈天氣影響，崇德車站至和仁車站間土石流，北迴線列車無法通行，欲退換票旅客，可至售票窗口辦理」。   圖：翻攝自合鐵事故平台臉書",Newtalk新聞,2025-05-18,https://images.newtalk.tw/resize_action2/800/album/news/888/64f593f2535ce.jpg
豪雨致災！台鐵北迴線「雙向中斷」最新行車資訊報你知| 生活,https://newtalk.tw/news/view/2025-05-19/971812,"昨(18)日受強降雨影響，台鐵和仁至崇德路段土石流淹過鐵軌，導致北迴鐵路雙向中斷。對此，台灣鐵路公司今(19)日公布北迴線最新行車資訊，包括東部往返西部各級列車開放站票、以柴聯車或公路運輸提供旅客接駁服務和部分列車停駛等。
台鐵北迴線昨日下午16時許，受豪雨影響，土石泥流淹過鐵軌軌面約3000方 ，導致現場電力桿傾倒、號誌通訊中斷、部分鐵道及電車設備受損，該路段「雙向皆無法通行」。對此，台鐵緊急調度柴聯車，行駛於東小清水溪橋施作及檢查完工軌道路線，協助旅客往返東部，並隨時更新行車資訊。
現正最夯：陣風慘敗引爆軍武連鎖效應! 南亞多國要退訂 殲-10C成新星 連韓國都怕賣不動
今晚18時起列車運行班次如下：
1.217次列車僅行駛至新城站(新城=樹調間停駛)。
2.441次列車僅行駛至新城站(新城=樹調間停駛)。
3.252次樹林至花蓮間列車停駛(花蓮=壽豐行駛)。
4.47次花蓮=樹林間列車停駛(台東=花蓮行駛)。
5.241次花蓮=和平間列車停駛(和平=樹林行駛)。
6.54次列車僅行駛至七堵站(七堵=花蓮間停駛)。
7.其餘車次及各區間(快)車順行至和平站，逆行至花蓮站。
8.今日東部往返西部之各級列車全面開放站票，不需換補票（僅純西線新自強號不開放站票）。
此外，台鐵公司說明，部分旅客受強陣雨影響，持有行經和仁至崇德中斷區間之未使用車票(含去回程車票)，可於一年內辦理退票，免收手續費。若旅客透過台鐵e訂通APP或台鐵官方網站訂購車票，其退票手續費將依次退還至原刷卡帳戶。若旅客受土石流影響，導致列車到站時間延遲120分鐘以上者，可免費搭乘同區間同等級車種列車一次。",Newtalk新聞,2025-05-19,https://images.newtalk.tw/resize_action2/800/album/news/972/682afba81295d.jpg
金門.馬祖濃霧能見度不足200公尺東北部留意局部豪大雨| 生活,https://newtalk.tw/news/view/2025-05-18/971516,"今天(18日)鋒面位於台灣北部海面，天氣更加不穩定，清晨台東地區有局部豪雨發生，東北部及東部有不定時局部短暫陣雨或雷雨，清晨至上午中部以北沿海地區有零星短暫陣雨，東南部及恆春半島則有不定時零星短暫陣雨，其他地區為多雲到晴，午後會有局部短暫雷陣雨，應注意午後北部、東北部地區及各地山區容易有局部大雨，尤其大台北及東北部地區有局部短延時豪雨發生的機率，部分地區下雨的時間將延續較久，晚間東北部及東部亦有局部大雨，建議外出攜帶雨具以備不時之需。
各地氣溫方面，沒下雨時天氣悶熱，各地高溫約31至35度，南部近山區可達36度左右，外出請注意防曬並多補充水分，至於各地低溫約23至26度；離鋒面較近的馬祖及金門有短暫陣雨或雷雨，澎湖為多雲時晴；澎湖25至31度，金門24至31度，馬祖23至28度。
當前熱搜：中國報導賴清德就職周年不小心說了實話！央視主播脫口稱「兩國」
今、明兩天金門及馬祖易有局部霧或低雲影響能見度，金門及馬祖已出現能見度不足200公尺的現象，交通往返請留意航班資訊。
周一到周五環境吹偏南風，各地大多為多雲到晴，花、東地區及恆春半島有局部短暫陣雨，午後大台北、東北部、東部地區及其他山區有局部短暫雷陣雨，山區並有局部較大雨勢，周一清晨至上午中南部沿海地區亦有零星短暫陣雨；氣溫預測北部24~34度，中部24~34度，南部26~35度，東北部23~31度，東部23~31度，東南部25~32度；澎湖25~31度，金門24~31度，馬祖23~30度。",Newtalk新聞,2025-05-18,https://images.newtalk.tw/resize_action2/800/album/news/972/68291c575ee20.jpg
